Movie Name,Movie Detail Link,Directors,Casts
Moneyball,https://www.metacritic.com/movie/moneyball,Bennett Miller,"Adrian Bellani,Chris Pratt,Erin Pickett,Glenn Morshower,James Shanklin,Kathryn Morris,Keith Middlebrook,Olivia Dudley,Philip Seymour Hoffman,Sergio Garcia,Stephen Bishop,Tammy Blanchard,Brad Pitt,Jonah Hill,Robin Wright"
The Autobiography of Nicolae Ceausescu,https://www.metacritic.com/movie/the-autobiography-of-nicolae-ceausescu,Andrei Ujica,"Charles de Gaulle,Edward Gierek,Elena Ceausescu,Erich Honecker,Jimmy Carter,Kim Ir-Sen,Leonid Brezhnev,Mao Zedong,Mikhail Gorbachev,Nicolae Ceausescu,Prince Philip,Queen Elizabeth II,Richard Nixon,Wladyslaw Gomulka,Wojciech Jaruzelski"
All About My Mother,https://www.metacritic.com/movie/all-about-my-mother,Pedro Almodóvar,"Antonia San Juan,Candela Peña,Carlos Lozano,Carmen Balagué,Eloy Azorín,Fernando Fernán Gómez,Fernando Guillén,José Luis Torrijo,Juan José Otegui,Manuel Morón,Penélope Cruz,Rosa Maria Sardà,Toni Cantó,Cecilia Roth,Marisa Paredes"
The English Patient,https://www.metacritic.com/movie/the-english-patient,Anthony Minghella,"Clive Merrison,Colin Firth,Geordie Johnson,Hichem Rostom,Julian Wadham,Jürgen Prochnow,Kevin Whately,Naveen Andrews,Nino Castelnuovo,Peter Rühring,Torri Higginson,Juliette Binoche,Kristin Scott Thomas,Ralph Fiennes,Willem Dafoe"
The Duke of Burgundy,https://www.metacritic.com/movie/the-duke-of-burgundy,Peter Strickland,"Chiara D'Anna,Eszter Tompa,Eugenia Caruso,Fatma Mohamed,Kata Bartsch,Monica Swinn,Sidse Babett Knudsen,Zita Kraszkó,Monica Swinn,Sidse Babett Knudsen"
My Golden Days,https://www.metacritic.com/movie/my-golden-days,Arnaud Desplechin,"Cécile Garcia-Fogel,Clémence Le Gall,Dinara Drukarova,Elyot Milshtein,Françoise Lebrun,Irina Vavilova,Kheifets Gregory,Lily Taieb,Lou Roy-Lecollinet,Mathieu Amalric,Olivier Rabourdin,Pierre Andrau,Quentin Dolmaire,Raphaël Cohen,Théo Fernandez,Cécile Garcia-Fogel,Dinara Drukarova,Lou Roy-Lecollinet,Mathieu Amalric,Quentin Dolmaire"
Nebraska,https://www.metacritic.com/movie/nebraska,Alexander Payne,"Angela McEwan,Anthony G. Schmidt,Bob Odenkirk,Bruce Dern,Dennis McCoig,Devin Ratray,Elizabeth Moore,Gelndora Stitt,June Squibb,Kevin Kunkel,Mary Louise Wilson,Melinda Simonsen,Missy Doty,Rance Howard,Ronald Vosta,Stacy Keach,Stephen Clayton,Tim Driscoll,Will Forte,Bob Odenkirk,Bruce Dern,June Squibb,Stacy Keach,Will Forte"
What the Constitution Means to Me,https://www.metacritic.com/movie/what-the-constitution-means-to-me,Marielle Heller,"Heidi Schreck,Mike Iveson,Rosdely Ciprian,Thursday Williams"
A Tale of Two Cities,https://www.metacritic.com/movie/a-tale-of-two-cities,"Jack Conway,Robert Z. Leonard","Billy Bevan,Claude Gillingwater,H.B. Warner,Isabel Jewell,Mitchell Lewis,Basil Rathbone,Blanche Yurka,Donald Woods,Edna May Oliver,Elizabeth Allan,Fritz Leiber,Henry B. Walthall,Reginald Owen,Ronald Colman,Walter Catlett"
Force Majeure,https://www.metacritic.com/movie/force-majeure,Ruben Östlund,"Adrian Heinisch,Brady Corbet,Clara Wettergren,Fanni Metelius,Franco Moscon,Jakob Granqvist,Johannes Kuhnke,Johannes Moustos,Jorge Lattof,Julie Roumogoux,Karin Myrenberg,Karl Pincon,Kristofer Hivju,Lisa Loven Kongsli,Malin Dahl,Michael Breitenberger,Peter Gaunt,Vincent Wettergren,Clara Wettergren,Johannes Kuhnke,Kristofer Hivju,Lisa Loven Kongsli,Vincent Wettergren"
